Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.5008703,1094.771431,1263.416318,1456.079469,1662.158759,1862.554122,2063.116926,2269.201401,2451.152804,2653.973626,2920.560791,3210.009396,3534.84913,3937.312875,4425.874191,5053.945798,5836.573437,6810.6039,7574.224455,8307.849519,9253.765188,10299.87069,11197.59694,11923.75262,12549.77183,12978.76891,13572.61999,14344.42124,15608.96707,16846.80085,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053.967636,2049.113569,2017.25218,1989.756794,1979.552515,2094.279706,2224.55925,2275.399661,2343.417253,2348.930354,2291.442267,2289.125821,2236.329086,2199.900583,2239.755095,2300.122357,2354.291595,2406.777312,2460.247219,2501.728522,2522.365667,2404.042623,2626.068383,2828.401213,3127.480687,4652.889619,4726.98074,4830.750515,5154.331702,5432.992608,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.409384,1790.706364,1723.39807,1578.254912,1600.545601,1644.930078,1701.699703,1774.152599,1826.594684,1882.776348,1941.697254,2017.011365,2079.759828,2156.690883,2302.116144,2357.048383,2444.75354,2562.263403,2629.885872,2634.677018,2681.887476,2773.896136,2855.446023,3002.610509,3185.355851,3260.523849,3405.056166,3554.521539,3690.068789,3796.307911,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.773089,805.6037995,709.285604,604.3059757,571.9623814,569.3272303,557.9704148,522.6318231,508.0735646,481.9072305,447.0821604,435.0764329,441.8202731,460.7701257,489.4200951,518.8403245,545.1513874,575.7490764,603.2879075,604.8441735,633.9131335,668.940881,669.5674426,753.4851681,849.7608186,905.4505994,963.6692722,1059.810762,1111.96579,1144.381029,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3182.061662,3277.286398,3346.098635,3299.155966,3096.845072,3196.487447,3299.279754,3240.439487,3302.221783,3170.19201,3387.394737,3492.260412,3606.434409,3598.346883,3710.898703,4363.250914,4695.68829,4350.752005,4555.98509,4959.396244,5349.829561,5428.241535,6335.785752,6069.000985,5888.294161,4664.324245,3883.580293,4274.297251,3991.157121,3870.837193,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5012.221341,5182.769951,5408.870682,5724.016711,6070.674652,6401.813731,6535.529513,6758.270569,6758.525749,6460.906827,6690.373751,6843.739037,7018.082018,7319.543212,7806.050509,8324.754688,9035.56564,9781.970408,10179.24484,10258.97084,10731.64591,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13812.09606,14171.3205,14837.90092,15630.07521,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.412495,1507.586935,1625.247312,1664.880038,1565.373235,1610.215915,1574.693333,1622.150804,1618.162059,1630.497034,1801.764134,1838.355456,1865.267165,1894.199957,1936.006798,2004.640868,2069.879744,2091.741984,2165.075425,2197.808664,2252.877706,2337.027619,2511.505979,2636.472976,2716.827525,2709.56254,2863.852044,3032.262133,3140.472044,3188.877441,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.553866,1088.308382,1201.765333,1299.762893,1538.657871,1748.289952,1935.97062,2141.138621,2387.454161,2642.840077,3032.197183,3113.160977,3273.95009,3420.200633,3813.689197,4146.066953,4552.229421,5316.854983,5711.275917,5613.746558,5692.549105,5966.848,5818.903059,5792.919833,5748.096238,5994.407103,6322.913236,6643.179891,7028.993092,7475.122518,
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029.365723,5160.373821,5613.551316,5994.152888,6236.161139,6466.265171,6517.156116,6831.089833,7237.491644,7496.363142,7804.966138,8110.658831,8377.085968,8766.776166,9265.169176,9791.616804,10673.92576,11698.50753,12316.31971,12147.06734,12730.6287,13387.57215,14091.51987,14651.14,15622.95003,16586.34961,18527.51481,19663.08979,20394.21794,21059.91753,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084.756026,6379.682246,6678.180016,7002.59698,7292.013864,7594.145521,7942.032624,8328.096974,8592.750255,9063.608028,9537.320681,9893.199463,10362.82223,11151.86747,11860.75316,12583.0638,13816.76636,14557.19812,14971.47949,14472.92305,14763.34166,15147.38431,15109.9458,15355.15737,15465.2235,15131.00055,15045.65614,15612.36647,16162.51093,16852.4432,
