Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
282-2203-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-43,Lead,1.96,0.2,15,ppb,,,,,,,
282-2203-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-44,Copper,0.0146,0.002,1.3,ppm,,,,,,,
282-2203-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-44,Lead,0.672,0.2,15,ppb,,,,,,,
282-2202-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-45,Copper,0.00904,0.002,1.3,ppm,,,,,,,
282-2202-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-45,Lead,2.84,0.2,15,ppb,,,,,,,
282-2202-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-46,Copper,0.0147,0.002,1.3,ppm,,,,,,,
282-2202-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-46,Lead,7.73,0.2,15,ppb,,,,,,,
282-2206-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-47,Copper,0.00804,0.002,1.3,ppm,,,,,,,
282-2206-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-47,Lead,14.8,0.2,15,ppb,,,,,,,
282-2206-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-48,Copper,0.00533,0.002,1.3,ppm,,,,,,,
282-2206-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-48,Lead,4.66,0.2,15,ppb,,,,,,,
282-2207-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-49,Copper,0.0061,0.002,1.3,ppm,,,,,,,
282-2207-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-49,Lead,10.7,0.2,15,ppb,,,,,,,
282-2207-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-50,Copper,0.00419,0.002,1.3,ppm,,,,,,,
282-2207-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-50,Lead,3.68,0.2,15,ppb,,,,,,,
